1	ADA/ETH	0.000341	2018-12-17 18:16:02
6849	ADA/ETH	0.000343	2018-12-17 18:48:02
19475	ADA/ETH	0.000340	2018-12-17 19:47:02
30175	ADA/ETH	0.000337	2018-12-17 20:37:02
36381	ADA/ETH	0.000344	2018-12-17 21:06:02
36595	ADA/ETH	0.000345	2018-12-17 21:07:02
40661	ADA/ETH	0.000342	2018-12-17 21:26:02
49221	ADA/ETH	0.000346	2018-12-17 22:06:02
49435	ADA/ETH	0.000347	2018-12-17 22:07:02
49863	ADA/ETH	0.000348	2018-12-17 22:09:02
55641	ADA/ETH	0.000350	2018-12-17 22:36:02
59065	ADA/ETH	0.000349	2018-12-17 22:52:02
99510	ADA/ETH	0.000352	2018-12-18 02:01:02
99724	ADA/ETH	0.000353	2018-12-18 02:02:02
114275	ADA/ETH	0.000359	2018-12-18 03:10:02
181899	ADA/ETH	0.000351	2018-12-18 08:26:02
2	AGI/ETH:CXBITF	0.000377	2018-12-17 18:16:02
3	AGI/ETH:CXETHF	0.000377	2018-12-17 18:16:02
4	AID/ETH:CXBITF	0.000204	2018-12-17 18:16:02
5	AID/ETH:CXETHF	0.000204	2018-12-17 18:16:02
6	AIO/ETH:CXBITF	0.001203	2018-12-17 18:16:02
7	AIO/ETH:CXETHF	0.001047	2018-12-17 18:16:02
8	ANT/ETH:CXBITF	0.003980	2018-12-17 18:16:02
9	ANT/ETH:CXETHF	0.003980	2018-12-17 18:16:02
10	ATM/ETH:CXBITF	0.000020	2018-12-17 18:16:02
79618	ATM/ETH:CXBITF	0.000016	2018-12-18 00:28:02
79832	ATM/ETH:CXBITF	0.000015	2018-12-18 00:29:02
11	ATM/ETH:CXETHF	0.000020	2018-12-17 18:16:02
79619	ATM/ETH:CXETHF	0.000016	2018-12-18 00:28:02
79833	ATM/ETH:CXETHF	0.000015	2018-12-18 00:29:02
12	AVT/ETH:CXBITF	0.001819	2018-12-17 18:16:02
7074	AVT/ETH:CXBITF	0.001808	2018-12-17 18:49:02
66780	AVT/ETH:CXBITF	0.001800	2018-12-17 23:28:02
135686	AVT/ETH:CXBITF	0.001650	2018-12-18 04:50:02
148526	AVT/ETH:CXBITF	0.001654	2018-12-18 05:50:02
13	AVT/ETH:CXETHF	0.001819	2018-12-17 18:16:02
7075	AVT/ETH:CXETHF	0.001808	2018-12-17 18:49:02
